0_6730, 0_6731, 0_6732, 0_6733, 0_6734, 0_6735, 0_6736, 0_6737, 0_6750, 0_6751, 0_6752, 0_6753, 0_6754, 0_6755, 0_6756, 0_6757, 0_6758, 0_6759, 0_6760, 0_6761, 0_6762	1_39589, 1_40184, 1_40532, 1_40572, 1_40763, 1_40902, 1_40974, 1_41121, 1_41271, 1_41316, 1_41382, 1_41503, 1_41665, 1_41729, 1_41758, 1_7691, 1_7705, 1_7880, 1_7948, 1_8159, 1_8187, 1_8195, 1_8233, 1_8355, 1_8368, 1_8486, 1_8827, 1_8915, 1_9005, 1_9078, 1_9329, 1_9482, 1_9485, 1_9555, 1_9569, 1_9588	2_21178, 2_21185, 2_21230, 2_21391, 2_21486, 2_21607, 2_21749, 2_21828, 2_22031, 2_22057, 2_22377, 2_22690, 2_22915, 2_23126, 2_23225, 2_23288, 2_23492	3_7399, 3_7400, 3_7401, 3_7402
0_37077, 0_37078, 0_37079, 0_37080, 0_37081, 0_37082, 0_37085, 0_37086, 0_37087, 0_37088, 0_37093, 0_37094, 0_37095, 0_37096, 0_7083	1_24932, 1_25201, 1_25386, 1_25762, 1_26061, 1_26647, 1_26866, 1_61090, 1_61480, 1_61805, 1_61877, 1_61900, 1_62463, 1_62759, 1_62781, 1_63204, 1_63244, 1_63248, 1_63310	2_13936, 2_13954, 2_14057, 2_14165, 2_14177, 2_14262, 2_14362, 2_14500, 2_14569, 2_15149, 2_15262, 2_15322, 2_15417, 2_15550, 2_15699, 2_15929, 2_16144, 2_16203, 2_16543	3_36305, 3_36322, 3_36323, 3_36324, 3_36325, 3_36326, 3_36327, 3_36328
0_10735, 0_10736, 0_10737, 0_37163, 0_37164, 0_37165, 0_37166	1_11832, 1_11995, 1_12004, 1_13353, 1_13657, 1_14721, 1_14825, 1_14928, 1_15139, 1_47896, 1_48592, 1_48707, 1_49082, 1_49101, 1_49758, 1_50221	2_3020, 2_3042, 2_3256, 2_3332, 2_3346, 2_3595, 2_3734, 2_4065, 2_4288, 2_4302, 2_4430, 2_4451, 2_4594, 2_4696, 2_5117, 2_5560, 2_5843, 2_6014, 2_6659, 2_6717, 2_6733, 2_6767, 2_6893	3_10349, 3_10350, 3_10351, 3_10352, 3_10353, 3_10354, 3_10355, 3_10356
0_4702, 0_4703, 0_4704, 0_4705, 0_4787, 0_4788, 0_4789, 0_4790, 0_4791, 0_4792, 0_4801, 0_4802, 0_4803	1_3320, 1_39519, 1_39597, 1_40194, 1_40662, 1_4083, 1_40988, 1_41139, 1_41240, 1_41294, 1_41373, 1_41397, 1_41488, 1_4586, 1_4733, 1_4756, 1_4808	2_21468, 2_21999, 2_22292, 2_23045, 2_23190, 2_23216, 2_23538	3_5126, 3_5127, 3_5128, 3_5129, 3_5130, 3_5131, 3_5132, 3_5133, 3_5134, 3_5135, 3_5136, 3_5137
0_14051, 0_14052, 0_14053, 0_14054, 0_14055, 0_14056, 0_14057, 0_14058	1_15808, 1_16096, 1_16152, 1_16958, 1_17224, 1_44724, 1_44764, 1_44813, 1_45058, 1_45246, 1_45282, 1_45608, 1_45773, 1_45845, 1_46172, 1_46513, 1_46538, 1_46638	2_1209, 2_146, 2_164, 2_1875, 2_1895, 2_1904, 2_1993, 2_2100, 2_2138, 2_317, 2_661, 2_942, 2_946	3_12041, 3_12042, 3_12043, 3_12044, 3_12045
0_10764, 0_10765, 0_10766, 0_10767, 0_10768	1_11633, 1_11916, 1_12381, 1_13120, 1_13564, 1_13839, 1_14620, 1_14777, 1_48164, 1_48299, 1_48379, 1_48818, 1_48890, 1_49392, 1_49463, 1_50281, 1_50295	2_2679, 2_3141, 2_3258, 2_3295, 2_3316, 2_3388, 2_4221, 2_4720, 2_4789, 2_4950, 2_5142, 2_5453	3_10382, 3_10383, 3_10384, 3_10385, 3_10386, 3_10387, 3_10388, 3_10389, 3_10390
0_26425, 0_26426, 0_26427, 0_26428, 0_26429, 0_26430	1_5121, 1_51211, 1_51730, 1_51735, 1_51960, 1_52139, 1_52189, 1_52193, 1_52781, 1_52888, 1_52960, 1_53180, 1_53202, 1_53323, 1_5337, 1_5801, 1_6093, 1_6505, 1_6888, 1_6994	2_24184, 2_24240, 2_24528, 2_25338, 2_25578, 2_25957, 2_25968, 2_26185, 2_26284, 2_26383, 2_26441, 2_26744	3_24184, 3_24185, 3_24186, 3_24187
0_2453, 0_2455, 0_2456, 0_2457, 0_2458, 0_2459, 0_2461, 0_2469, 0_2470	1_19980, 1_19981, 1_20048, 1_20197, 1_20235, 1_21242, 1_21459, 1_21739, 1_21866, 1_63476, 1_63486, 1_63937, 1_64054, 1_64596, 1_65143	2_17096, 2_17159, 2_17587, 2_17971, 2_18175, 2_18281, 2_18735, 2_19233	3_755, 3_756, 3_757, 3_758, 3_759, 3_772, 3_773, 3_774
0_6812, 0_6813, 0_6814, 0_6815, 0_6816, 0_6817, 0_6818	1_39590, 1_39737, 1_39881, 1_40138, 1_40362, 1_40375, 1_40646, 1_40703, 1_41251, 1_41529, 1_41547, 1_41789, 1_7538, 1_7598, 1_7680, 1_7985, 1_8021, 1_8851, 1_8869, 1_9086, 1_9134, 1_9411, 1_9435, 1_9574	2_21517, 2_21889, 2_21961, 2_22100, 2_22626, 2_22918, 2_23467, 2_23499, 2_23819	
0_35464, 0_35465, 0_35466, 0_35467, 0_35468, 0_35469	1_25077, 1_25631, 1_25681, 1_25753, 1_25968, 1_26118, 1_26540, 1_26791, 1_26912, 1_62005, 1_62058, 1_62110, 1_62272, 1_62802, 1_62888, 1_63005	2_30004, 2_30844, 2_30993, 2_31022, 2_31545, 2_31815, 2_31928, 2_32077, 2_32135, 2_32384	3_34972, 3_34973, 3_34974, 3_34975, 3_34976, 3_34977, 3_34978
