0_6730, 0_6731, 0_6732, 0_6733, 0_6734, 0_6735, 0_6736, 0_6737, 0_6750, 0_6751, 0_6752, 0_6753, 0_6754, 0_6755, 0_6756, 0_6757, 0_6758, 0_6759, 0_6760, 0_6761, 0_6762	1_7691, 1_7705, 1_7880, 1_7948, 1_8159, 1_8187, 1_8195, 1_8233, 1_8323, 1_8355, 1_8368, 1_8486, 1_8827, 1_8915, 1_8948, 1_9005, 1_9078, 1_9329, 1_9482, 1_9485, 1_9555, 1_9569, 1_9588, 1_9632, 1_9692	2_21178, 2_21185, 2_21230, 2_21391, 2_21486, 2_21607, 2_21749, 2_21828, 2_22031, 2_22057, 2_22377, 2_22690, 2_22915, 2_23126, 2_23225, 2_23288, 2_23492	3_7294, 3_7397, 3_7889, 3_8219, 3_8237, 3_8277, 3_8389, 3_8468, 3_8607, 3_8679, 3_8708, 3_8826, 3_8967, 3_8976, 3_9021, 3_9087, 3_9185, 3_9208, 3_9277, 3_9286, 3_9370, 3_9434, 3_9463, 3_9532, 3_9608	4_7399, 4_7400, 4_7401, 4_7402
0_27659, 0_27660, 0_27661, 0_27662, 0_27694, 0_27695, 0_27696	1_5271, 1_5750, 1_5961, 1_6015, 1_6080, 1_6324, 1_6599, 1_6616, 1_6618, 1_7353	2_24407, 2_24555, 2_24592, 2_24701, 2_25110, 2_25262, 2_25643, 2_26025, 2_26404, 2_26426, 2_26474, 2_26676	3_18567, 3_18581, 3_19020, 3_19494, 3_19542, 3_19937, 3_20116, 3_20242, 3_20252, 3_20301, 3_20508, 3_20620	4_24893, 4_24894, 4_24895, 4_24896, 4_24897, 4_24898, 4_24899, 4_24900, 4_24901, 4_24902, 4_24903, 4_24904, 4_24905, 4_24906, 4_24907, 4_24908, 4_24909, 4_24910, 4_24911, 4_24912, 4_24913, 4_24914
0_37077, 0_37078, 0_37079, 0_37080, 0_37081, 0_37082, 0_37085, 0_37086, 0_37087, 0_37088, 0_37093, 0_37094, 0_37095, 0_37096, 0_7083	1_24932, 1_25201, 1_25386, 1_25762, 1_26061, 1_26647, 1_26866	2_13936, 2_13954, 2_14057, 2_14165, 2_14177, 2_14262, 2_14362, 2_14500, 2_14569, 2_15149, 2_15262, 2_15322, 2_15417, 2_15550, 2_15699, 2_15929, 2_16144, 2_16203, 2_16543	3_28795, 3_29185, 3_29510, 3_29582, 3_29605, 3_30168, 3_30464, 3_30486, 3_30909, 3_30949, 3_30953, 3_31015	4_36305, 4_36322, 4_36323, 4_36324, 4_36325, 4_36326, 4_36327, 4_36328
0_10735, 0_10736, 0_10737, 0_37163, 0_37164, 0_37165, 0_37166	1_11832, 1_11995, 1_12004, 1_13353, 1_13657, 1_14721, 1_14825, 1_14928, 1_15139	2_3020, 2_3042, 2_3256, 2_3332, 2_3346, 2_3595, 2_3734, 2_4065, 2_4288, 2_4302, 2_4430, 2_4451, 2_4594, 2_4696, 2_5117, 2_5560, 2_5843, 2_6014, 2_6659, 2_6717, 2_6733, 2_6767, 2_6893	3_15601, 3_16297, 3_16412, 3_16787, 3_16806, 3_17463, 3_17926	4_10349, 4_10350, 4_10351, 4_10352, 4_10353, 4_10354, 4_10355, 4_10356
0_23366, 0_23367, 0_23368, 0_4066, 0_4067, 0_4068, 0_4069, 0_4070, 0_4071, 0_4072	1_19843, 1_19999, 1_20367, 1_20371, 1_20380, 1_21650, 1_23046, 1_23870, 1_24286	2_17046, 2_17048, 2_18427, 2_18526, 2_18810, 2_34750, 2_34853, 2_35971, 2_36061, 2_36891	3_21902, 3_23063, 3_23156, 3_31417, 3_31899, 3_32546, 3_32612, 3_32877	4_2271, 4_2272, 4_2273, 4_22732, 4_22733, 4_22734, 4_22735, 4_22736, 4_22737, 4_2274, 4_2275, 4_2276, 4_2277
0_4702, 0_4703, 0_4704, 0_4705, 0_4787, 0_4788, 0_4789, 0_4790, 0_4791, 0_4792, 0_4801, 0_4802, 0_4803	1_3320, 1_4083, 1_4586, 1_4733, 1_4756, 1_4808	2_21468, 2_21999, 2_22292, 2_23045, 2_23190, 2_23216, 2_23538	3_7224, 3_7302, 3_7899, 3_8367, 3_8693, 3_8844, 3_8945, 3_8999, 3_9078, 3_9102, 3_9193	4_5126, 4_5127, 4_5128, 4_5129, 4_5130, 4_5131, 4_5132, 4_5133, 4_5134, 4_5135, 4_5136, 4_5137
0_14051, 0_14052, 0_14053, 0_14054, 0_14055, 0_14056, 0_14057, 0_14058	1_13339, 1_15591, 1_15725, 1_15796, 1_15808, 1_16096, 1_16143, 1_16152, 1_16958, 1_17224	2_1209, 2_146, 2_164, 2_1875, 2_1895, 2_1904, 2_1993, 2_2100, 2_2138, 2_317, 2_661, 2_942, 2_946	3_12429, 3_12469, 3_12518, 3_12763, 3_12951, 3_12987, 3_13313, 3_13478, 3_13550, 3_13877, 3_14218, 3_14243, 3_14343	4_12041, 4_12042, 4_12043, 4_12044, 4_12045
0_10764, 0_10765, 0_10766, 0_10767, 0_10768	1_11633, 1_11916, 1_12381, 1_13120, 1_13564, 1_13839, 1_14620, 1_14777	2_2679, 2_3141, 2_3258, 2_3295, 2_3316, 2_3388, 2_4221, 2_4720, 2_4789, 2_4950, 2_5142, 2_5453	3_15869, 3_16004, 3_16084, 3_16523, 3_16595, 3_17097, 3_17168, 3_17986, 3_18000	4_10382, 4_10383, 4_10384, 4_10385, 4_10386, 4_10387, 4_10388, 4_10389, 4_10390
0_26425, 0_26426, 0_26427, 0_26428, 0_26429, 0_26430	1_5121, 1_5337, 1_5801, 1_6093, 1_6505, 1_6888, 1_6994	2_24184, 2_24240, 2_24528, 2_25338, 2_25578, 2_25957, 2_25968, 2_26185, 2_26284, 2_26383, 2_26441, 2_26744	3_18916, 3_19435, 3_19440, 3_19665, 3_19844, 3_19894, 3_19898, 3_20486, 3_20593, 3_20665, 3_20885, 3_20907, 3_21028	4_24184, 4_24185, 4_24186, 4_24187
0_6812, 0_6813, 0_6814, 0_6815, 0_6816, 0_6817, 0_6818	1_7538, 1_7598, 1_7680, 1_7985, 1_8021, 1_8851, 1_8869, 1_9086, 1_9134, 1_9411, 1_9435, 1_9574	2_21517, 2_21889, 2_21961, 2_22100, 2_22626, 2_22918, 2_23467, 2_23499, 2_23819	3_7295, 3_7442, 3_7586, 3_7843, 3_8067, 3_8080, 3_8351, 3_8408, 3_8956, 3_9234, 3_9252, 3_9494	
