0_30906, 0_9919, 0_9920, 0_9921, 0_9923, 0_9924, 0_9925, 0_9926, 0_9927, 0_9928, 0_9929, 0_9930, 0_9931, 0_9932, 0_9933, 0_9934, 0_9935, 0_9936, 0_9939, 0_9940	1_28913, 1_30023, 1_5430, 1_5685, 1_6339, 1_6407, 1_6437, 1_6524	2_44662, 2_44663, 2_44664, 2_44665, 2_44666, 2_44667, 2_44668, 2_44669, 2_44670, 2_44671, 2_44672, 2_44673, 2_44674, 2_44675, 2_44676, 2_44677, 2_44678, 2_44679, 2_44680, 2_44681, 2_44682, 2_44683, 2_44684, 2_79874, 2_79875, 2_79876, 2_79877, 2_79878, 2_79879, 2_79880, 2_79881, 2_79882, 2_79883, 2_79884, 2_79885, 2_79886, 2_79887, 2_79888, 2_79889, 2_79890, 2_79891, 2_79892, 2_79893, 2_79894, 2_79895, 2_8760, 2_8761, 2_8762, 2_8763, 2_8764, 2_8765, 2_8766, 2_8768, 2_8769, 2_8770, 2_8771, 2_8772, 2_8773, 2_8774	3_17197, 3_17198, 3_17200, 3_17201, 3_17202, 3_17203, 3_17204, 3_17206, 3_17207, 3_17209, 3_17210, 3_17211, 3_17212, 3_17214, 3_17217, 3_25643, 3_25644, 3_25645, 3_25646, 3_25647, 3_25648, 3_25649, 3_25650, 3_25651, 3_25657, 3_25658, 3_25659, 3_25660, 3_25661, 3_25662	4_12054, 4_12055, 4_12056, 4_12057, 4_12058, 4_12059, 4_12060, 4_12061, 4_12062, 4_12063, 4_12064, 4_12065, 4_12066, 4_12067, 4_12068, 4_12069, 4_17387, 4_17388, 4_17389, 4_17390, 4_17391, 4_17393, 4_17394, 4_17395, 4_17396, 4_17397, 4_17398, 4_17399, 4_17400, 4_17401, 4_17402, 4_17403, 4_17404, 4_17405, 4_17406	5_8020, 5_8022, 5_8023, 5_8764, 5_8784, 5_8788
0_25297, 0_25298, 0_25299, 0_25301, 0_25302, 0_25303, 0_25304, 0_25305, 0_25306, 0_25307, 0_25308, 0_25309, 0_25310, 0_25311, 0_25313, 0_25314, 0_25315, 0_25316	1_10306, 1_2393, 1_2876, 1_3124, 1_3130, 1_4471, 1_6636, 1_7011, 1_7099, 1_8364, 1_8579, 1_8771, 1_8828, 1_8841, 1_9070	2_23233, 2_23237, 2_23238, 2_23239, 2_23240, 2_23241, 2_23242, 2_23243, 2_23244, 2_23245, 2_23246, 2_23248, 2_23250, 2_23251, 2_23252, 2_23254, 2_23255, 2_23256, 2_58958, 2_58962, 2_58963, 2_58964, 2_58965, 2_58967, 2_58968, 2_58969, 2_58970, 2_58971, 2_58972, 2_58979, 2_93317, 2_93318, 2_93319, 2_93320, 2_93321, 2_93322, 2_93323, 2_93324, 2_93325, 2_93326, 2_93327, 2_93328, 2_93329, 2_93330, 2_93331, 2_93332, 2_93333, 2_93334, 2_93335, 2_93336, 2_93337	3_63795, 3_63796, 3_63797, 3_63802, 3_67696, 3_67697, 3_67698, 3_67700, 3_67701, 3_67702, 3_67703, 3_67704, 3_67705, 3_67709, 3_71763, 3_75993, 3_75999	4_39966, 4_39967, 4_39968, 4_39969, 4_39970, 4_39971, 4_39972, 4_39973, 4_39974, 4_39975, 4_39976, 4_39977, 4_44927, 4_44928	5_21619, 5_21620, 5_21621, 5_21623, 5_21624, 5_21625, 5_22187, 5_24958, 5_24959
0_7333, 0_7334, 0_7336, 0_7337, 0_7338, 0_7339, 0_7340, 0_7345, 0_7347, 0_7348, 0_7354	1_11490, 1_11500, 1_11610, 1_11691, 1_11926, 1_12402, 1_22205, 1_5937, 1_6283, 1_8228, 1_8334, 1_9294	2_42401, 2_42402, 2_42403, 2_42404, 2_42405, 2_42406, 2_42408, 2_42409, 2_42410, 2_42411, 2_42412, 2_42413, 2_42417, 2_42418, 2_6459, 2_6460, 2_6461, 2_6462, 2_6463, 2_6464, 2_6465, 2_6466, 2_6468, 2_6469, 2_6472, 2_77628, 2_77629, 2_77630, 2_77631, 2_77632, 2_77636, 2_77638, 2_77639, 2_77640, 2_82387	3_15383, 3_19573, 3_19574, 3_19579, 3_19580, 3_19581, 3_19582, 3_19583, 3_23802, 3_23803, 3_28408, 3_28409, 3_28410, 3_28411, 3_28413, 3_28414, 3_28415, 3_28417, 3_28422	4_15264, 4_15265, 4_15266, 4_15267, 4_15268, 4_15269, 4_15271, 4_15272, 4_15273, 4_15274, 4_15275, 4_15279, 4_18700, 4_9910, 4_9911, 4_9912, 4_9913, 4_9914, 4_9915, 4_9918, 4_9919, 4_9920, 4_9921, 4_9922, 4_9924, 4_9925	5_12199, 5_6277, 5_6278, 5_7132, 5_7308, 5_7309, 5_7312, 5_7313, 5_7314, 5_8028, 5_8029, 5_8031, 5_8032, 5_8033, 5_8034
0_2150, 0_2151, 0_2152, 0_2153, 0_2154, 0_2155, 0_2156, 0_2157, 0_2159, 0_2160, 0_2161	1_25074, 1_25704, 1_26301, 1_26350, 1_26494, 1_26803, 1_26981, 1_30157, 1_30644, 1_30869, 1_31539, 1_31718	2_1821, 2_1822, 2_1823, 2_1824, 2_1825, 2_1826, 2_1827, 2_1828, 2_1829, 2_1830, 2_37251, 2_37252, 2_37253, 2_37254, 2_37255, 2_37256, 2_37257, 2_37258, 2_37259, 2_37260, 2_72863, 2_72864, 2_72865, 2_72866, 2_72867, 2_72868, 2_72869, 2_72870, 2_72872, 2_72873, 2_72878	3_11888, 3_11889, 3_11891, 3_11892, 3_11893, 3_11894, 3_1428, 3_41180, 3_4637, 3_4638, 3_4639, 3_4640, 3_4641, 3_4642, 3_4643, 3_8168, 3_8169	4_1640, 4_1641, 4_1642, 4_1643, 4_1644, 4_1645, 4_1646, 4_1647, 4_5587, 4_5588, 4_5589, 4_5590, 4_5591, 4_5592, 4_5593, 4_5594, 4_5595, 4_5596	5_2433, 5_2434, 5_2435, 5_2437, 5_2438, 5_2439, 5_2440, 5_2441
0_33168, 0_33178, 0_34143, 0_34150, 0_34151, 0_34152, 0_34153, 0_3548, 0_3549	1_22219, 1_23002, 1_23117, 1_23409, 1_26768, 1_29777, 1_31654, 1_4145, 1_6231	2_100254, 2_100255, 2_101174, 2_101176, 2_101177, 2_101178, 2_101179, 2_101180, 2_101181, 2_19647, 2_30310, 2_31164, 2_31165, 2_31166, 2_31167, 2_31168, 2_31169, 2_3117, 2_31172, 2_31173, 2_31174, 2_3118, 2_38604, 2_38605, 2_66526, 2_66527, 2_66528, 2_66529, 2_66530, 2_66531, 2_66532, 2_74152, 2_74153	3_103278, 3_103279, 3_106143, 3_106144, 3_2371, 3_54878, 3_92020, 3_92021, 3_92024, 3_92030, 3_9208, 3_96008, 3_99366, 3_99367, 3_99368	4_2806, 4_2807, 4_48844, 4_55188, 4_55904, 4_55905, 4_55906, 4_55907, 4_55908, 4_55911, 4_55913, 4_55914, 4_60076, 4_60077, 4_60078, 4_60079, 4_60080, 4_60081, 4_60082, 4_6805, 4_6806	5_31139, 5_32924, 5_32925, 5_32927, 5_32928, 5_32947, 5_32948, 5_32949, 5_37458, 5_3925
0_19548, 0_19549, 0_6103, 0_6105, 0_6106	1_11694, 1_13118, 1_13202, 1_13695, 1_22937	2_16698, 2_41269, 2_41270, 2_41271, 2_41272, 2_41273, 2_41279, 2_41280, 2_41281, 2_41282, 2_41283, 2_41284, 2_41285, 2_41286, 2_41287, 2_53704, 2_53705, 2_5390, 2_5397, 2_5398, 2_5399, 2_5400, 2_5401, 2_5402, 2_5403, 2_5404, 2_76519, 2_76520, 2_76521, 2_76526, 2_76527, 2_76528, 2_88312	3_14597, 3_14598, 3_14599, 3_18776, 3_18777, 3_18778, 3_22994, 3_22995, 3_22999, 3_23000, 3_23001, 3_23002, 3_48659, 3_56468, 3_59696	4_14258, 4_14259, 4_14261, 4_14262, 4_14263, 4_14264, 4_14266, 4_14267, 4_14268, 4_14269, 4_14270, 4_14271, 4_14272, 4_30773, 4_35439, 4_8921, 4_8922, 4_8923, 4_8924, 4_8929, 4_8930, 4_8931, 4_8932, 4_8933, 4_8934, 4_8935	5_19911, 5_6086, 5_6123, 5_6124, 5_6126, 5_6146, 5_6147, 5_6214, 5_6215, 5_6216
0_16508, 0_5170, 0_5171, 0_5172, 0_5173, 0_5179, 0_5181, 0_5184, 0_5186, 0_5189, 0_5190, 0_5193, 0_5194, 0_5196	1_10314, 1_10817, 1_10902, 1_6203, 1_6865, 1_7442, 1_9811	2_40300, 2_40301, 2_40302, 2_40303, 2_40311, 2_40323, 2_40326, 2_40327, 2_4504, 2_4505, 2_4507, 2_4516, 2_4523, 2_4524, 2_4532, 2_4535, 2_4549, 2_75650, 2_75651, 2_75652, 2_75653, 2_75660, 2_75671, 2_75672, 2_75674, 2_75675, 2_85794	3_14080, 3_14081, 3_14082, 3_14100, 3_22319, 3_22320, 3_22321, 3_22328, 3_26847, 3_26848, 3_57462	4_13447, 4_13448, 4_13449, 4_13450, 4_13467, 4_8195, 4_8199, 4_8200, 4_8201, 4_8202, 4_8203, 4_8209, 4_8210, 4_8211, 4_8212, 4_8213, 4_8223, 4_8225, 4_8226, 4_8239, 4_8240, 4_8241, 4_8242	5_10909, 5_10910, 5_5303, 5_5358, 5_5464, 5_5465, 5_5466, 5_5467, 5_5539, 5_7469, 5_7917
0_35608, 0_35609, 0_35610, 0_35612, 0_35613, 0_35614, 0_35615, 0_35616	1_820, 1_8431, 1_899, 1_9273	2_102470, 2_102471, 2_102472, 2_102473, 2_102474, 2_102475, 2_102476, 2_102477, 2_102478, 2_102479, 2_102480, 2_32466, 2_32467, 2_32468, 2_32469, 2_32470, 2_32471, 2_32472, 2_32473, 2_32474, 2_32475, 2_32479, 2_32480, 2_32481, 2_32484, 2_32485, 2_67789, 2_67790, 2_67791, 2_67792, 2_67793, 2_67794, 2_67795, 2_67796, 2_67797, 2_67798, 2_67799	3_100390, 3_100391, 3_100392, 3_100393, 3_100394, 3_100395, 3_100397, 3_100398, 3_100399, 3_100400, 3_100401, 3_100402, 3_104347, 3_92968, 3_92969, 3_92970, 3_92971, 3_92972, 3_92973, 3_92974, 3_96963	4_57103, 4_57104, 4_57105, 4_57106, 4_57107, 4_57109, 4_57110, 4_57111, 4_57138, 4_57139, 4_61276, 4_61277, 4_61278, 4_61279, 4_61280, 4_61281, 4_61282	5_36797, 5_36798, 5_36799, 5_36802, 5_36803, 5_36804
0_8610, 0_8611, 0_8612, 0_8613, 0_8615, 0_8617	1_12107, 1_12192, 1_12367, 1_13796, 1_14241, 1_14339, 1_5060, 1_5258	2_43440, 2_43441, 2_43442, 2_43443, 2_43444, 2_43445, 2_43446, 2_43447, 2_43448, 2_43449, 2_43450, 2_43451, 2_43452, 2_43453, 2_43454, 2_7574, 2_7575, 2_7576, 2_7577, 2_7578, 2_7579, 2_7580, 2_7581, 2_7582, 2_7583, 2_7584, 2_7585, 2_78676, 2_78677, 2_78678, 2_78679, 2_78680, 2_78681, 2_78682, 2_78683, 2_78684, 2_78685, 2_78687	3_20540, 3_29329, 3_29330, 3_29331, 3_29332	4_10988, 4_10989, 4_10990, 4_10991, 4_10992, 4_10993, 4_10994, 4_10995, 4_16279, 4_16280, 4_16281, 4_16282, 4_16283, 4_16284, 4_16285, 4_16286, 4_16287, 4_16288, 4_16289, 4_16290, 4_16291, 4_16292, 4_16293, 4_16294, 4_16295	5_7484, 5_7485, 5_7487, 5_9127, 5_9128, 5_9129, 5_9131, 5_9313
0_11302, 0_11303, 0_11306, 0_11310, 0_11311, 0_11312, 0_11314, 0_11320, 0_11321, 0_11322	1_28635, 1_28754, 1_29147, 1_29372, 1_29397, 1_29490, 1_29981, 1_3730, 1_4196, 1_5846	2_46020, 2_46021, 2_46024, 2_46025, 2_46026, 2_46027, 2_46032, 2_46033, 2_46034, 2_46035, 2_81150, 2_81151, 2_81152, 2_81153, 2_81158, 2_81160, 2_81161, 2_81162, 2_9925, 2_9926, 2_9927, 2_9935, 2_9936, 2_9937, 2_9938, 2_9942, 2_9943, 2_9944, 2_9945, 2_9946	3_22104, 3_22109, 3_22113, 3_22117, 3_22118, 3_22119, 3_22121, 3_26625, 3_26626, 3_31206, 3_31211, 3_31215, 3_31217, 3_31222	4_13135, 4_13137, 4_13138, 4_13139, 4_13140, 4_13148, 4_13149, 4_13150, 4_13151, 4_13160, 4_13161, 4_18588, 4_18590, 4_18593, 4_18594, 4_18595, 4_18596, 4_18604, 4_18605, 4_18606, 4_18607	5_11191, 5_11220, 5_11221, 5_11223, 5_11224
